r,p,sample_size,population_r
0.21659094091644715,0.17946565420716945,40,0.25
0.15516602079249128,0.3390497507936616,40,0.25
0.2604002564120517,0.1046262919195417,40,0.25
0.2652474031703571,0.09809590055400208,40,0.25
0.41500830847498527,0.007749574749089069,40,0.25
0.24618790533398616,0.12568707056618372,40,0.25
0.14396397325277835,0.3754745933820518,40,0.25
0.41481669124787557,0.0077808007935265214,40,0.25
0.19760151651085692,0.22162927567031443,40,0.25
0.004098918434033576,0.9799737106547914,40,0.25
0.2083852738742737,0.19692145371089295,40,0.25
0.3691830343416473,0.019059145467455883,40,0.25
0.3822070735311047,0.014939577836758184,40,0.25
0.13672734371867512,0.4001910972030698,40,0.25
0.5613368366933211,1.6434812044304815e-4,40,0.25
0.4359730869238991,0.0049218037766846304,40,0.25
0.22869472362846294,0.1557771540846815,40,0.25
0.281639283784061,0.07830715902992962,40,0.25
-0.0018595770636228239,0.9909138446286551,40,0.25
0.32589550114397575,0.040151380164624266,40,0.25
0.08765454761457335,0.5906917631089762,40,0.25
0.39109669755844967,0.012582900323544473,40,0.25
0.0587794583329339,0.7186397061496617,40,0.25
0.45128948883779135,0.0034688009709784745,40,0.25
0.4260801488877357,0.006118938637481637,40,0.25
0.2438967667715268,0.12935948362275418,40,0.25
0.34117761596282725,0.03120230910228748,40,0.25
0.4075142009771048,0.009054231371096746,40,0.25
0.3009195088847617,0.05918350274712645,40,0.25
0.30339369810007266,0.057025758648186986,40,0.25
0.1644793938222851,0.31048690185828953,40,0.25
0.08714528421385297,0.5928593360483299,40,0.25
0.46266064651791583,0.002647462843833315,40,0.25
0.2669283321078029,0.09590577027005974,40,0.25
0.136100056138464,0.40237685114552313,40,0.25
0.3701320743897568,0.018729796430260598,40,0.25
0.2591261617939347,0.1063966083304651,40,0.25
0.4812233714787714,0.0016692407567107162,40,0.25
0.3097963391870697,0.05173263747380562,40,0.25
0.11251984135178099,0.48939455241076746,40,0.25
0.2693976972757276,0.09275673758931527,40,0.25
0.4370322028219723,0.004806592653127255,40,0.25
0.18023600688982824,0.2657469620457276,40,0.25
0.21216712462262,0.18873379156379486,40,0.25
0.038088022408452646,0.8155006914688132,40,0.25
0.34922668564384507,0.027193646867358607,40,0.25
0.33618715037521624,0.03392348100487162,40,0.25
0.034879934042804095,0.8308046053316681,40,0.25
0.056534221552270274,0.6678914237904188,60,0.25
0.35551379192671734,0.0053105512900126035,60,0.25
0.20633267339780373,0.113718620081027,60,0.25
0.05445008513213446,0.6794578948811953,60,0.25
0.35621633344131165,0.005214639672253137,60,0.25
